isbn_searched,publisher,synopsis,language,image,image_original,title_long,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,dimensions_structured.length.unit,dimensions_structured.length.value,dimensions_structured.width.unit,dimensions_structured.width.value,dimensions_structured.weight.unit,dimensions_structured.weight.value,dimensions_structured.height.unit,dimensions_structured.height.value,edition,dewey_decimal,related.ePub
9780957551138,The Poetry Translation Centre,English translation of Chinese poetry.,en,https://images.isbndb.com/covers/25434263482528.jpg,https://images.isbndb.com/covers/original/25434263482528.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTgsImlhdCI6MTc0NDc5MTc1OH0.aJ_-edFcgpSVMFoDfpJZAUzEVOUJC1UbNSujylkKDrM,My Tenantless Body (World Poet Series),"Height: 8.74014 Inches, Length: 5.55117 Inches, Width: 0.94488 Inches",66.0,2019-01-01,['Subjects'],['Yu Yoyo'],My Tenantless Body (World Poet Series),9780957551138,0.00,Paperback,0957551134,0957551134,,inches,5.55117,inches,0.94488,,,inches,8.74014,,,
9781250768919,Tordotcom,"An Oprah Daily Top 25 Fantasy Book of 2022<br/><br/>From an award-winning team of authors, editors, and translators comes a groundbreaking short story collection that explores the expanse of Chinese science fiction and fantasy.<br/><br/>In The Way Spring Arrives and Other Stories, you can dine at a restaurant at the end of the universe, cultivate to immortality in the high mountains, watch roses perform Shakespeare, or arrive at the island of the gods on the backs of giant fish to ensure that the world can bloom.<br/><br/>Written, edited, and translated by a female and nonbinary team, these stories have never before been published in English and represent both the richly complicated past and the vivid future of Chinese science fiction and fantasy.<br/><br/>Time travel to a winter's day on the West Lake, explore the very boundaries of death itself, and meet old gods and new heroes in this stunning new collection.",en,https://images.isbndb.com/covers/8604123482633.jpg,https://images.isbndb.com/covers/original/8604123482633.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NTksImlhdCI6MTc0NDc5MTc1OX0.0YxQXLPoJXrOBUCUl1pEwXbLTY4bCPO5BjRrsd5k-I0,The Way Spring Arrives and Other Stories: A Collection of Chinese Science Fiction and Fantasy in Translation from a Visionary Team of Female and Nonbinary Creators,"Height: 8.3999832 Inches, Length: 6.33 Inches, Weight: 0.9810570659 Pounds, Width: 1.53 Inches",400.0,2022-03-08,"['Literature & Fiction', 'Short Stories & Anthologies', 'Anthologies', 'Science Fiction & Fantasy', 'Fantasy', 'Myths & Legends', 'Science Fiction', 'Hard Science Fiction', 'Short Stories']","['Yu Chen', 'Regina Kanyu Wang']",The Way Spring Arrives and Other Stories: A Collection of Chinese Science Fiction and Fantasy in Translation from a Visionary Team of Female and Nonbinary Creators,9781250768919,0.00,Hardcover,1250768918,1250768918,,inches,6.33,inches,1.53,pounds,0.9810570659,inches,8.3999832,,,
9781590172483,NYRB Classics,"A New York Review Books Original<br/><br/>Edith Wharton wrote about New York as only a native can. Her Manhattan is a city of well-appointed drawing rooms, hansoms and broughams, all-night cotillions, and resplendent Fifth Avenue flats. Bishops’ nieces mingle with bachelor industrialists; respectable wives turn into excellent mistresses. All are governed by a code of behavior as rigid as it is precarious. What fascinates Wharton are the points of weakness in the structure of Old New York: the artists and writers at its fringes, the free-love advocates testing its limits, widows and divorcées struggling to hold their own.<br/><br/>The New York Stories of Edith Wharton gathers twenty stories of the city, written over the course of Wharton’s career. From her first published story, “Mrs. Manstey’s View,” to one of her last and most celebrated, “Roman Fever,” this new collection charts the growth of an American master and enriches our understanding of the central themes of her work, among them the meaning of marriage, the struggle for artistic integrity, the bonds between parent and child, and the plight of the aged.<br/><br/>Illuminated by Roxana Robinson’s Introduction, these stories showcase Wharton’s astonishing insight into the turbulent inner lives of the men and women caught up in a rapidly changing society.",en,https://images.isbndb.com/covers/4259173482754.jpg,https://images.isbndb.com/covers/original/4259173482754.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NjAsImlhdCI6MTc0NDc5MTc2MH0.Yd-8jMu02_CFmaZna8L67JQu41d4cqBpULbUtG5O_Gc,The New York Stories of Edith Wharton (New York Review Books Classics),"Height: 8 Inches, Length: 5 Inches, Weight: 1.10231131 Pounds, Width: 0.98 Inches",488.0,2007-10-09,['New York (N.Y.) -- Fiction'],['Edith Wharton'],The New York Stories of Edith Wharton (New York Review Books Classics),9781590172483,17.95,Paperback,1590172485,1590172485,"[{'isbn': '9781590174364', 'binding': 'printisbn'}]",inches,5.0,inches,0.98,pounds,1.10231131,inches,8.0,Main,['813/.52'],1590174364
9781612199092,Melville House,"A New York Times Editors' Choice and Notable Book of 2021<br/><br/>""Best Science Fiction, Fantasy and Horror of 2021""—The Washington Post<br/><br/>From one of the most exciting voices in contemporary Chinese literature, an uncanny and playful novel that blurs the line between human and beast…<br/><br/>In the fictional Chinese city of Yong’an, an amateur cryptozoologist is commissioned to uncover the stories of its fabled beasts. These creatures live alongside humans in near-inconspicuousness—save their greenish skin, serrated earlobes, and strange birthmarks.<br/>Aided by her elusive former professor and his enigmatic assistant, our narrator sets off to document each beast, and is slowly drawn deeper into a mystery that threatens her very sense of self.<br/><br/>Part detective story, part metaphysical enquiry, Strange Beasts of China engages existential questions of identity, humanity, love and morality with whimsy and stylistic verve.",en,https://images.isbndb.com/covers/27924733482761.jpg,https://images.isbndb.com/covers/original/27924733482761.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NjIsImlhdCI6MTc0NDc5MTc2Mn0.iAhMSZKKIHp59uKEOHTFPLjvGo6xQL34q9bO0Pd6920,Strange Beasts of China,"Height: 8.53 Inches, Length: 5.72 Inches, Weight: 0.71 Pounds, Width: 0.97 Inches",240.0,2021-07-13,"['Literature & Fiction', 'Genre Fiction', 'Literary', 'Science Fiction & Fantasy', 'Fantasy', 'Paranormal & Urban', 'Magical Realism', 'Coming of Age', 'Romantic']",['Yan Ge'],Strange Beasts of China,9781612199092,0.00,Hardcover,1612199097,1612199097,"[{'isbn': '9781612199108', 'binding': 'printisbncanonical'}]",inches,5.72,inches,0.97,pounds,0.71,inches,8.53,,,
9781639887989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9781681376486,NYRB Poets,"A new, bilingual collection of poetry by a pioneering, multi-talented Chinese writer and photographer in a landmark English translation.<br/><br/>“My poems are flecks of salt clinging ambivalently to a horse’s back,” Wang Yin writes. This is the first comprehensive collection of this important Chinese poet’s work to appear in English, translated by Andrea Lingenfelter. Readers can follow the full arc of his career, from the early, surrealist, and Deep Image–influenced work of the 1980s, when he made his debut as a post-Misty poet, through the turn toward the rawer, more immediate poetry of the nineties, and on to the existential and ineffable weavings of his more recent work. Wang’s sensibility is both cosmopolitan and lyrical, and his poetry has a subtlety and beauty that contrasts with the often physically painful imagery with which he depicts psychological reality, a reality expressed as various states of mind struggling against the suppression of memory. Shanghai winters, a winter in Katowice, a summer day with ghosts, blue shadows, petals in the darkness, an “empty lane lit up by moonlight”—the poems of this extraordinary volume illuminate the inner life as a singular encounter between physical and spiritual realms.",zh,https://images.isbndb.com/covers/17553923482786.jpg,https://images.isbndb.com/covers/original/17553923482786.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NjQsImlhdCI6MTc0NDc5MTc2NH0.JrEiYhELmdh1SZzFDoMx-lKU2Kfzglmx70bYqEy8duQ,A Summer Day in the Company of Ghosts: Selected Poems (New York Review Books: Poets),"Height: 6.97 Inches, Length: 4.46 Inches, Weight: 0.4 Pounds, Width: 0.57 Inches",192.0,2022-08-23,"['Literature & Fiction', 'Genre Fiction', 'History & Criticism', 'Regional & Cultural', 'Poetry', 'Themes & Styles']",['Wang Yin'],A Summer Day in the Company of Ghosts: Selected Poems (New York Review Books: Poets),9781681376486,0.00,Paperback,1681376482,1681376482,"[{'isbn': '9781681376493', 'binding': 'print'}]",inches,4.46,inches,0.57,pounds,0.4,inches,6.97,Bilingual,,
9781938890932,Zephyr Press,"The poet travels from her home in the United States to her ancestral village in Shanxi province to bury the ashes of her paternal grandparents in a ritual lasting several days. The narrative arc of the story movingly explores death and life, a multi-branched and multi-generational clan, and ancient and modern belief systems, as it moves toward a tragic climax. First Mountain is Zhang Er’s third book to be published by Zephyr Press, and includes an introduction about the collaborative process between Zhang Er and Joseph Donahue to render the book into English.",en,https://images.isbndb.com/covers/8805703482878.jpg,https://images.isbndb.com/covers/original/8805703482878.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NjYsImlhdCI6MTc0NDc5MTc2Nn0.bPJRtbNu2k9hxOuOd3gIVZQmJJjympiqWXMOHdOUit4,First Mountain,"Height: 8 Inches, Length: 6 Inches, Weight: 0.65 Pounds, Width: 0.5 Inches",329.0,2018-08-28,"['Literature & Fiction', 'History & Criticism', 'Regional & Cultural', 'Poetry', 'Themes & Styles', 'Women Authors']",['Er Zhang'],First Mountain,9781938890932,18,Paperback,1938890930,1938890930,,inches,6.0,inches,0.5,pounds,0.65,inches,8.0,,,
9781951627058,Arcade,"For Readers of Rupi Kaur and Courtney Peppernell, a Poetic Diary that Confronts and Meditates on Love, Hope, and Despair<br/><br/>""There were two entrances to the café, but I always opted for the narrower one hidden in the shadows. I always chose the same table at the back of the little room to write my poems to you, day by day. Let the world around you fade, and close the door. Get rid of your rolling cigarettes. Yes, I’m writing this for you. Some beautiful things: warm nights after the rain, old books, tea in the afternoon, fresh laundry, and blurry moon. This might justify your life.""<br/><br/>Written in the vein of today's young confessional poets, Café after Dawn isa diary written in the form of poetry. Penned during the four years that Xiao Yan spent with her mother who was undergoing cancer treatment in New York, each poem is a reflection of her thoughts on existential crisis, universal truth, traumatized youth, death, romance, and the struggles between hope and despair in our modern society.<br/><br/>Using the power of poetry and innovative visual design, as well as experiments on the connection between Eastern and Western culture, Café after Dawn unleashes a healing power that will set readers free from judgment, self-doubt, and anxiety.",en,https://images.isbndb.com/covers/23823803482882.jpg,https://images.isbndb.com/covers/original/23823803482882.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NjcsImlhdCI6MTc0NDc5MTc2N30.0vKibftZ4aOm8zYadld7KCHQ6qaFzg64p1KjOGvgL2E,Café after Dawn: Poems,"Height: 6 Inches, Length: 4 Inches, Weight: 0.1 Pounds, Width: 0.6 Inches",80.0,2020-05-05,"['Self-Help', 'Relationships', 'Love & Loss', 'Literature & Fiction', 'Poetry', 'Regional & Cultural', 'Themes & Styles', 'Women Authors']",['Xiao Yan'],Café after Dawn: Poems,9781951627058,0.00,Paperback,1951627059,1951627059,"[{'isbn': '9781951627065', 'binding': 'print'}]",inches,4.0,inches,0.6,pounds,0.1,inches,6.0,,,
9783966025645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9784098611171,,,ja,https://images.isbndb.com/covers/8035583483647.jpg,https://images.isbndb.com/covers/original/8035583483647.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NzAsImlhdCI6MTc0NDc5MTc3MH0.4gIgk0lxoFknSi2364yP_-rznDQCIbbbi_OlZElR0AU,【预订】松本大洋 东京日常(1) 東京ヒゴロ 进口日文原版 自传体漫画书 小学館,"Height: 8.2677 Inches, Length: 5.82676 Inches, Width: 0.66929 Inches",,,['Subjects'],['unknown author'],【预订】松本大洋 东京日常(1) 東京ヒゴロ 进口日文原版 自传体漫画书 小学館,9784098611171,0.00,Comic,4098611171,4098611171,,inches,5.82676,inches,0.66929,,,inches,8.2677,,,
9784758439053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786263355668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786263538948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786267113554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786267206430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787010083834,People's Publishing House,"Luan Baoqun Bian Zhu. 栾保群编著. 作为《中国民间诸神》的姐妹编, 本书可能有更广泛的读者, 因为本书所收神祗的范围扩大了很多. 编者尽自己力量所及, 把古代文献中所能找到并有一定查询价值的鬼神名目搜罗起来, 经过筛选, 保留了大约五千余条, 从名目上看, 要比《中国民间诸神》多出十倍以上; 而且这些鬼神名目以辞条方式出现, 更便于读者检索, 所以这实际上是一部《神名大辞典》.",zh,https://images.isbndb.com/covers/25883773484683.jpg,https://images.isbndb.com/covers/original/25883773484683.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NzgsImlhdCI6MTc0NDc5MTc3OH0.6MEyE71d9glfddxtEmtZ6EOFCCj1ZoTaWsJ_rqqrEmo,Dictionary of Chinese Genie (Chinese Edition),"height: 205 mm, length: 278 mm, width: 45 mm",299.0,2012-01-01,"['Gods, Chinese', 'Gods, Chinese--Dictionaries', 'Ghosts', 'Ghosts--China--Dictionaries', 'Mythology, Chinese', 'Mythology, Chinese--Dictionaries']",['Luan Bao Qun'],Dictionary of Chinese Genie (Chinese Edition),9787010083834,0.00,Hardcover,7010083835,7010083835,,mm,278.0,mm,45.0,,,mm,205.0,,,
9787020002207,人民文学出版社,Chinese language edition.,zh,https://images.isbndb.com/covers/12724343484687.jpg,https://images.isbndb.com/covers/original/12724343484687.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5NzksImlhdCI6MTc0NDc5MTc3OX0.0K6CGtkEZBupeDdguat1opHnx7-u8vrJKfOps6MvLPM,红楼梦(上下)/中国古典文学读本丛书,"Height: 7.99211 Inches, Length: 5.5118 Inches, Weight: 3.086471668 Pounds, Width: 2.55905 Inches",200.0,2022-03-01,"['Literature & Fiction', 'Contemporary']",['曹雪芹'],红楼梦(上下)/中国古典文学读本丛书,9787020002207,36.95,Paperback Shinsho,702000220X,702000220X,,inches,5.5118,inches,2.55905,pounds,3.086471668,inches,7.99211,Standard,,
9787020051830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787020107438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787020116614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787020118021,People's Literature Publishing House,"Two youngsters both born in the 1980s are suffering from a lack of affection by their fathers. Tracing the footprints of their fathers generation, they follow clues and get to the bottom of a secret and finally disclose an important but humiliating truth. What on earth happened on a rainy night in 1967 inside the discarded water tower built by German army? How could an iron nail have shaped up a totally different fates for the two families? What kind of tragedy is hidden behind the glory? One is a respected scholar, the other is a patient in vegetative state without consciousness. The entanglement between them permeates into the long life of their descendants and forces them to live in the eternal shadow of love and sin...",zh,https://images.isbndb.com/covers/13882483484687.jpg,https://images.isbndb.com/covers/original/13882483484687.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5ODQsImlhdCI6MTc0NDc5MTc4NH0.39lUYPIK0nK_iCNiGeOy5Z5gdonT1w_m1e_ntiRfe7g,Cocoon (Chinese Edition),,425.0,2016-07-01,['Romance'],['Zhang Yueran'],Cocoon (Chinese Edition),9787020118021,0.00,Paperback,702011802X,702011802X,,,,,,,,,,First Edition,,
9787020122318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787020129003,People's Literature Publishing House,,zh,https://images.isbndb.com/covers/13992303484687.jpg,https://images.isbndb.com/covers/original/13992303484687.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5ODcsImlhdCI6MTc0NDc5MTc4N30.m_Fd_pii5QsSWkxSu1UndkNrNkqMiJ4IaXns70np3TU,潜,,,2014-01-01,"['Arborist Merchandising Root', 'Self Service']",['YU ZHONG XIAN YI [ FA ] KE LI SI TUO FU · AO NUO DI BI AO'],潜,9787020129003,0.00,Paperback,7020129005,7020129005,,,,,,,,,,,,
9787020129621,人民文学出版社,"正版授权 卖家 : Boolee 加微信[soweinc]每天分享好书,邀你加入国际微信群学习交流.微信好友低至5优惠 .<br/>书名:海风中失落的血色馈赠（阿利斯泰尔·麦克劳德作品集）<br/>简介:很难想出还有谁能写出具有阿利斯泰尔·麦克劳德般魅力的小说。——2013年诺贝尔文学奖得主爱丽丝·门罗<br/>作者:[加]阿利斯泰尔·麦克劳德 著，陈以侃 译<br/>出版社:人民文学出版社<br/>出版时间:2020年01月<br/>ISBN:9787020129621<br/>装订方式:平装-胶订",zh,https://images.isbndb.com/covers/13998483484687.jpg,https://images.isbndb.com/covers/original/13998483484687.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5ODgsImlhdCI6MTc0NDc5MTc4OH0.S9-25S_iw6Vet5Cew1YmPrtF6ZLlgnu59UKJdSWtm1k,海风中失落的血色馈赠/阿利斯泰尔·麦克劳德作品集,Weight: 1.01 Pounds,,2019,['Subjects'],['[加]阿利斯泰尔·麦克劳德 著，陈以侃 译'],海风中失落的血色馈赠/阿利斯泰尔·麦克劳德作品集,9787020129621,0.00,Paperback,7020129625,7020129625,,,,,,pounds,1.01,,,Standard,,
9787020135004,People's Literature Publishing House,,zh,https://images.isbndb.com/covers/14052313484687.jpg,https://images.isbndb.com/covers/original/14052313484687.jpg?key=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDQ3OTg5ODksImlhdCI6MTc0NDc5MTc4OX0.3apCGnPkV7IzdgAS0264RGoVp24YXaicIbcjIC94dlk,Gilead (Chinese Edition),,254.0,2007-01-01,['Subjects'],['Marilynne Robinson'],Gilead (Chinese Edition),9787020135004,0.00,Hardcover,7020135005,7020135005,,,,,,,,,,First Edition,,
